text,rating,date,location
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Came here on Valentine, and the foods were good. <br><br>We ordered the tomyum soup, duck with holy basil, and softshell crab with yellow curry.<br><br>Every thing was good and no complaints. Though there are comparable restaurants around.<br><br>Just wished there were crispy duck items in the menu.<br><br>There was a deposit system where you have to deposit AUD $20 to reserve a table. We thought that Valentine could be crowded, so we made the deposit.<br><br>Should have paid at the counter so they deducted the deposit.</span>",3 star rating,"Feb 15, 2025","Jacksonville, FL"
,,,"Jacksonville, FL"
,,,"Jacksonville, FL"
,,,
,,,"Jacksonville, FL"
,,,"Jacksonville, FL"
,,,
,3 star rating,"Feb 15, 2025",
,3 star rating,,
,,"Feb 15, 2025",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">unfortunately my husband reacts to msg (ajinomoto), which is a flavor enhancer not normally used in Thai food.  We thought we were safe in a Thai restaurant, but, to be safe, we talked with the waitress about his reaction , and the waitress, kindly, changed our order to avoid any possibility of msg.  <br><br>We are currently in the emergency room, because he has a very bad reaction to the food.  Despite the waitress' assurance, the cooks avoided all flavoring EXCEPT msg.  <br><br>My food was bland.  His was bland, but it contained msg, even though we specified no msg and even though we said he was so allergic he needed to go to the hospital.<br><br>We will avoid Home in the future. <br><br>Service was good except for the msg confusion.  Ambience was good.</span>",1 star rating,"Oct 25, 2024","Kailua, HI"
,,,"Kailua, HI"
,,,"Kailua, HI"
,,,
,,,"Kailua, HI"
,,,"Kailua, HI"
,,,
,1 star rating,"Oct 25, 2024",
,1 star rating,,
,,"Oct 25, 2024",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Food was delicious...the only drawback is the fact that cards are not accepted for payment  - only cash and bank transfers/e-wallet. Otherwise I highly recommend it.</span>",4 star rating,"Jan 7, 2025","San Rafael, CA"
,,,"San Rafael, CA"
,,,"San Rafael, CA"
,,,
,,,"San Rafael, CA"
,,,"San Rafael, CA"
,,,
,4 star rating,"Jan 7, 2025",
,4 star rating,,
,,"Jan 7, 2025",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Great place for Thai food and just as long as you know it is extremely busy in the evening so it can be chaotic. The portions are large and the 4 star rating holds true as some things are quite not on par with Thai but all in all a pretty good value for Sydney dining. Spicy basil chicken was good and dessert with shaved ice was lacking flavor.</span>",4 star rating,"Feb 6, 2024","San Clemente, CA"
,,,"San Clemente, CA"
,,,"San Clemente, CA"
,,,
,,,"San Clemente, CA"
,,,"San Clemente, CA"
,4 star rating,"Feb 6, 2024",
,4 star rating,,
,,"Feb 6, 2024",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Really good Thai food.  Large portions and full of flavor.  Place was busy and crowded.  Tables were on the smaller side when ordering 2 meals an appetizer, rice and desert. Would recommend if you're craving Thai food.  Also if you're with a group this is a good venue to share something family style.  Also the fried donuts were tasty.</span>",5 star rating,"Jan 2, 2024","Cupertino, CA"
,,,"Cupertino, CA"
,,,"Cupertino, CA"
,,,
,,,"Cupertino, CA"
,,,"Cupertino, CA"
,5 star rating,"Jan 2, 2024",
,5 star rating,,
,,"Jan 2, 2024",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Came here looklng for Indonesian food for dinner early evening. It was busy and we had to order from a large menu and pay before we ate. We tried to change the order since the waitress forgot a dish, but we couldn't. We ordered chicken Pad Thai and seafood glass noodle Pad Thai with 2 beers and a wine.<br>The meal came at different times, so m wife had nearly finished her meal when I received mine. Quality and quantity was good - with a lot of noodles.<br>The cost for 2 came to $75 which is relatively good value</span>",4 star rating,"Feb 22, 2024","Portishead, United Kingdom"
,,,"Portishead, United Kingdom"
,,,"Portishead, United Kingdom"
,,,
,,,"Portishead, United Kingdom"
,,,"Portishead, United Kingdom"
,,,
,4 star rating,"Feb 22, 2024",
,4 star rating,,
,,"Feb 22, 2024",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">The food is good and the people are nice. The sitting down to look at the menu and then get up to order is a little odd for sure.</span>",4 star rating,"Mar 29, 2024","Lakeside, CA"
,,,"Lakeside, CA"
,,,"Lakeside, CA"
,,,
,,,"Lakeside, CA"
,,,"Lakeside, CA"
,4 star rating,"Mar 29, 2024",
,4 star rating,,
,,"Mar 29, 2024",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">We were hungry and we when in and this was absolutely solid Thai. <br>My partner and I loved it. Pad Thai rocked. Order it extra spicy and blow your brains out. <br>Yummy</span>",5 star rating,"Aug 24, 2022","Calgary, Canada"
,,,"Calgary, Canada"
,,,"Calgary, Canada"
,,,
,,,"Calgary, Canada"
,,,"Calgary, Canada"
,,,
,5 star rating,"Aug 24, 2022",
,5 star rating,,
,,"Aug 24, 2022",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Overall food was good. I enjoyed the papaya salad the most. I should habe gotten rice with it instead. Pad thai was way too sugary with too much red sauce coating it. Clean restaurant, nice atmosphere and satisfying service.</span>",5 star rating,"Jan 1, 2024","Champaign, IL"
,,,"Champaign, IL"
,,,"Champaign, IL"
,,,
,,,"Champaign, IL"
,,,"Champaign, IL"
,5 star rating,"Jan 1, 2024",
,5 star rating,,
,,"Jan 1, 2024",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4.5 star rating,,
,4.5 star rating,,
,,,
,4.5 star rating,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",5 star rating,"Dec 14, 2023","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",5 star rating,"Dec 14, 2023","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,
,,,
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,," flavours
Even on a Wednesday evening, there was a queue outside the restaurant."
,,,
,,,Pork belly is really excellent as well as the 
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Nice food, large portions and low prices. I recommend the thai milk tea and the pad see ew, and the pineapple fried rice.</span>",5 star rating,"Dec 14, 2023",Location
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Nice food, large portions and low prices. I recommend the thai milk tea and the pad see ew, and the pineapple fried rice.</span>",5 star rating,"Dec 14, 2023",Location
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Nice food, large portions and low prices. I recommend the thai milk tea and the pad see ew, and the pineapple fried rice.</span>",5 star rating,"Dec 14, 2023",Location
,,,Location
,,,Location
,,,
,,,Location
,,,Location
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Nice food, large portions and low prices. I recommend the thai milk tea and the pad see ew, and the pineapple fried rice.</span>",5 star rating,"Dec 14, 2023","Sydney, Australia"
,,,"Sydney, Australia"
,,,"Sydney, Australia"
,,,
,,,"Sydney, Australia"
,,,"Sydney, Australia"
,5 star rating,"Dec 14, 2023",
,5 star rating,,
,,"Dec 14, 2023",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Authentic Thai flavours<br>Even on a Wednesday evening, there was a queue outside the restaurant.   It took us half an hour to get a table but it was well worth the wait.  The food was delicious and redolent with Thai spices - lemongrass, chilli, galangal and coriander.  The tom yum with giant king prawns was outstanding and we loved our mango sticky rice dessert.</span>",5 star rating,"Nov 6, 2019","Bulimba, Australia"
,,,"Bulimba, Australia"
,,,"Bulimba, Australia"
,,,
,,,"Bulimba, Australia"
,,,"Bulimba, Australia"
,5 star rating,"Nov 6, 2019",
,5 star rating,,
,,"Nov 6, 2019",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">I usually love exploring different restaurants when I'm traveling... with that said, I happily came here twice within a week.  <br><br>Some of their dishes, i.e. Som Tum, come in a HUGE portions, while I could've done with helpings more of their curry dishes i.e. their sweet Penang Curry.  Their Pad Thai was another HUGE dish that was delicious and served with the traditional sides of sugar, chili, and peanuts. My colleagues and I barely had enough room on the table for all the dishes we ordered (and shared family style).  <br><br>I loved everything that was ordered with the exception of the Tamarind Sauce Fish. Other than that, let your happy self go wild. <br><br>Home Thai is one of the best Thai restaurants I've eat at outside of Thailand. Jing jing.</span>",5 star rating,"Mar 29, 2018","Chicago, IL"
,,,"Chicago, IL"
,,,"Chicago, IL"
,,,
,,,"Chicago, IL"
,,,"Chicago, IL"
,,,
,5 star rating,"Mar 29, 2018",
,5 star rating,,
,,"Mar 29, 2018",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Best Thom Yum  soup ever! Good service. Very tasty!</span>",5 star rating,"Jul 2, 2021","Knoxville, TN"
,,,"Knoxville, TN"
,,,"Knoxville, TN"
,,,
,,,"Knoxville, TN"
,,,"Knoxville, TN"
,,,
,5 star rating,"Jul 2, 2021",
,5 star rating,,
,,"Jul 2, 2021",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">As others have stated, Home Thai Restaurant is a sprawl of culinary efficiency that's become a hot spot in Sydney, and while I developed a tremendous amount of respect for their speed and friendliness, I wasn't particularly blown away by their iteration of my all-time favorite Thai Dish Panang Curry.<br><br>Star 1: How were the service and atmosphere?<br><br>By Sydney Restaurant standards, Home Thai has some serious real estate, and they fill the space with some pretty high density seating. While you won't be knee to knee or elbow to elbow with your neighbors, you'll be able to hear every word they say, so maybe find a different location for an intimate date.<br><br>However, if you're fine with some close quarters, you can sit back and watch the smooth efficiency with which Home Thai is run. Yes, the queue can grow long, but they burn through it quickly and from there can easily have your food out five minutes post order. It's all very impressive. Star.<br><br>Star 2: How were the portions relative to the cost?<br><br>There's great value to be had at Home Thai. Good sized curry dishes are priced as low as $12.00 AUD, which is blissfully cheap especially if you're coming from the States with a very advantageous exchange rate. Star. <br><br>Stars 3 and 4: How was the food?<br><br>My Panang Curry had all the potential in the world with the right mix of fresh ingredients and some fluffy accompanying jasmine rice. However, the consistency was a bit of a strike, with a more watery than creamy textures and a flavor profile that didn't quite pop in the way that I typically expect any yellow curry to do. Single Star. <br><br>Star 5: Would you be excited to go back?<br><br>Home Thai is a great experience, but their dishes fall a bit short of other Thai I've had. No Star .</span>",3 star rating,"May 26, 2019","Los Angeles, CA"
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,,,
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,,,
,3 star rating,"May 26, 2019",
,3 star rating,,
,,"May 26, 2019",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Very bad experience. First of all, the environment is noisy<br>It's strange that you can't call the waiter to order<br>They can't even count the money wrong. They added a bowl of rice 4.5dollars and gave her 20. She wrote 10dollars and then gave me five dollars and five... Then they told her that she only paid me ten dollars. Is it possible for the waiter to charge more money for the restaurant without paying attention?<br>The price is also lower than that of another Thai restaurant in Haymarket<br>An extra portion of rice hasn't been served for 20 minutes, but it was served after a rush. The dishes of the guests who came later than us were served<br>Then the mango glutinous rice had to be reminded to serve. After waiting for another 12 minutes, the pot was not collected for us, and the next table was all collected. Then we found that the mango was sour and immature</span>",1 star rating,"Feb 15, 2023","Chippendale, Sydney, Australia"
,,,"Chippendale, Sydney, Australia"
,,,"Chippendale, Sydney, Australia"
,,,
,,,"Chippendale, Sydney, Australia"
,,,"Chippendale, Sydney, Australia"
,,,
,1 star rating,"Feb 15, 2023",
,1 star rating,,
,,"Feb 15, 2023",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This place definitely lives up to the hype! There was quite a line when we stopped by but the service is stunningly efficient here and the line moved quickly. The atmosphere is fantastic and bustling, with an open kitchen and conversation all around. We ordered the crispy pork belly (soo crispy, bursting with flavor and not too spicy) and the pineapple fried rice (fyi it's got seafood in it and the pineapple adds such a unique flavor) - we stuffed our faces and were left wishing we still had room for dessert, which looked incredible!</span>",5 star rating,"Jan 3, 2019","Los Angeles, CA"
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,,,
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,5 star rating,"Jan 3, 2019",
,5 star rating,,
,,"Jan 3, 2019",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">We found Home Thai on Yelp and were not disappointed!  We arrived early, just before the line formed, and were seated right away at one of two remaining tables around 5:45PM.   <br><br>It took a bit for a server to take our order, but once the order was in our food came out fast.   The massaman curry was amazing!  The beef was extremely tender and the sauce was nicely balanced with coconut, spices and peanuts all working well together.    Prices were extremely reasonable, but just a heads up that rice is $3 extra which isn't prominently noted on the menu.   <br><br>I'd suggest double checking the bill before going up to pay; we were given someone else's and it was about $35 more than ours.  <br><br>I'd agree with others to not be put off by the line.   This is not a place where people come to linger for a long time; people are coming for excellent Thai food served quickly, so tables do turn quickly!</span>",4 star rating,"Sep 29, 2016","Indianapolis, IN"
,,,"Indianapolis, IN"
,,,"Indianapolis, IN"
,,,
,,,"Indianapolis, IN"
,,,"Indianapolis, IN"
,4 star rating,"Sep 29, 2016",
,4 star rating,,
,,"Sep 29, 2016",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">We always passed this restaurant on our way home and it was always so busy. We just had to see what the fuss was about!<br><br>I have never been to a restaurant which delivers your food order soo fast ! I'm not even kidding too. We were so surprised. Our waitress took our order through an app? And then we got all our food and drink in less than 6 minutes. This place was so packed and busy too so it was impressive. <br><br>There is nothing bad to say about our experience. Everything from the service to the quality of food, there was nothing to falter it. Everything was so yummy and the way that Thai food was supposed to be. The pricing of everything is so affordable too. Dishes are of good quantities that you can easily share between 2 people, and are under $20. <br><br>I have to say, as a tip: you're best off trying to get there before dinner rush because there was a line of people as we were heading out even after the 8:30 mark. <br><br>All in all, I'd go back to try everything else, and it would be a place I'd order takeaway from on a weekly basis! Great Thai place :)</span>",5 star rating,"Sep 25, 2018","Brisbane, Australia"
,,,"Brisbane, Australia"
,,,"Brisbane, Australia"
,,,
,,,"Brisbane, Australia"
,,,"Brisbane, Australia"
,,,
,5 star rating,"Sep 25, 2018",
,5 star rating,,
,,"Sep 25, 2018",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">We came here because we'd heard good things from friends. <br><br>Pros:<br>Food and drinks came out really quick!<br>Iced milk tea - yummy yummy<br>Spicy ground chicken - very flavorful<br><br>Cons:<br>Cash only<br>Massaman curry - sweeeet, and the meat was tough<br>Pork dumplings - also very sweet, had way more sticky saucy and peanuts than pork</span>",3 star rating,"Jul 4, 2018","Los Angeles, CA"
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,,,
,,,"Los Angeles, CA"
,,,"Los Angeles, CA"
,,,
,3 star rating,"Jul 4, 2018",
,3 star rating,,
,,"Jul 4, 2018",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,3.5 star rating,,
,3.5 star rating,,
,,,
,3.5 star rating,,
,,,
,,,
,4 star rating,,
,4 star rating,,
,,,
,4 star rating,,
,,,
,,,
,4.5 star rating,,
,4.5 star rating,,
,,,
,4.5 star rating,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
text,rating,date,location
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",4 star rating,"Apr 15, 2018","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",4 star rating,"Apr 15, 2018","I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,
,,,
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,,"I've tried a range of dishes and really love the Massaman Curry, red curry, all the "
,,,
,,," flavours
Even on a Wednesday evening, there was a queue outside the restaurant."
,,,
,,,Pork belly is really excellent as well as the 
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
"<span class="" raw__09f24__T4Ezm"">299 Sussex St</span>",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This is one of my favorite Thai places for delivery.<br>Always fast and super responsive if there is an issue.<br>Highly recommend.</span>",4 star rating,"Apr 15, 2018",Location
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This is one of my favorite Thai places for delivery.<br>Always fast and super responsive if there is an issue.<br>Highly recommend.</span>",4 star rating,"Apr 15, 2018",Location
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This is one of my favorite Thai places for delivery.<br>Always fast and super responsive if there is an issue.<br>Highly recommend.</span>",4 star rating,"Apr 15, 2018",Location
,,,Location
,,,Location
,,,
,,,Location
,,,Location
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This is one of my favorite Thai places for delivery.<br>Always fast and super responsive if there is an issue.<br>Highly recommend.</span>",4 star rating,"Apr 15, 2018","Bayswater, Australia"
,,,"Bayswater, Australia"
,,,"Bayswater, Australia"
,,,
,,,"Bayswater, Australia"
,,,"Bayswater, Australia"
,,,
,4 star rating,"Apr 15, 2018",
,4 star rating,,
,,"Apr 15, 2018",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">You simply have to try the crispy pork, it's incredible! I also tried the curry puffs which were totally not oily which was a nice change from most places. The chicken pad Thai was delicious. Depending on what time you arrive you may have to wait but you just put your name down at the door, I was dining  alone and was seated almost immediately. Eftpos has a minimum $30 spend, that just meant I over ordered and happily have leftovers for lunch tomorrow. The restaurant is right around the corner from the Park Royal Darling Harbour so definitely give room service a miss and got to Home Thai!</span>",5 star rating,"Feb 6, 2018","Bridgeman Downs, Australia"
,,,"Bridgeman Downs, Australia"
,,,"Bridgeman Downs, Australia"
,,,
,,,"Bridgeman Downs, Australia"
,,,"Bridgeman Downs, Australia"
,,,
,5 star rating,"Feb 6, 2018",
,5 star rating,,
,,"Feb 6, 2018",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">I've been meaning to write this review for days but haven't had a chance until now-- 6 days after eating here.  Truth be told, my mouth is still watering almost a week after visiting Home.<br><br>My boyfriend warned me there would be a line out front and there sure was.  Despite having at least 10 parties in front of us, the wait was actually fairly quick, maybe 20 minutes (which worked out well because FYI: this place is cash only and the wait gave us time to go to the ATM.)<br><br>Once we were seated, our food came quickly.  Everything was So.Damn.Good!  We got 2 appetizers-- the dim sum and the multicolored dumplings (I don't remember the name of these, but you'll know it when you see it on the menu).  My boyfriend ordered the mussamum curry, which he says is the best he's ever had, and I ordered the pad Thai, also the best I've ever had.  <br><br>Just go to Home right now.  You won't be sorry.</span>",5 star rating,"Dec 12, 2015","San Francisco, CA"
,,,"San Francisco, CA"
,,,"San Francisco, CA"
,,,
,,,"San Francisco, CA"
,,,"San Francisco, CA"
,,,
,5 star rating,"Dec 12, 2015",
,5 star rating,,
,,"Dec 12, 2015",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">We are a group of 6 and had to wait for 15 mins to get a table. The place is congested, similar to mamak.<br><br>I ordered <br>Vegetarian entree : keuw tiew lod ,<br>Main : Pad ka Pao<br>Dessert : water chestnut jelly<br><br>We got the food within 5 mins after we ordered.<br>Food was delicious..serving quantity was sufficient enough. Price was reasonable.<br><br>Overall a good experience and looking toward to visit again.</span>",4 star rating,"May 5, 2015","Sydney, Australia"
,,,"Sydney, Australia"
,,,"Sydney, Australia"
,,,
,,,"Sydney, Australia"
,,,"Sydney, Australia"
,,,
,4 star rating,"May 5, 2015",
,4 star rating,,
,,"May 5, 2015",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">This is pretty much the best Thai restaurant I've eaten at in my life. Right. I haven't been to Thailand. But. <br>I ate at Thai restaurants all across America and Thai food in America really sucks.  I am betting this place is better than half the places in Thailand and safer to eat!</span>",5 star rating,"Jan 5, 2016","Los Gatos, CA"
,,,"Los Gatos, CA"
,,,"Los Gatos, CA"
,,,
,,,"Los Gatos, CA"
,,,"Los Gatos, CA"
,,,
,5 star rating,"Jan 5, 2016",
,5 star rating,,
,,"Jan 5, 2016",
,,,
,,,
"<span class="" raw__09f24__T4Ezm"" lang=""en"">Stumbled upon this restaurant while looking for a place for dinner. The food here was delicious!<br><br>I thoroughly enjoyed my entire meal, and they even had my favorite dessert: water chestnut in coconut milk. <br><br>Everything tasted very authentic, and fresh. <br><br>Highly recommended!!</span>",5 star rating,"Jun 28, 2016","New York, NY"
,,,"New York, NY"
,,,"New York, NY"
,,,
,,,"New York, NY"
,,,"New York, NY"
,,,
,5 star rating,"Jun 28, 2016",
,5 star rating,,
,,"Jun 28, 2016",
,,,
,,,
