sentences/sentence/0/text,sentences/sentence/0/Opinions/Opinion/0/_target,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/0/_from,sentences/sentence/0/Opinions/Opinion/0/_to,sentences/sentence/0/_id,_rid,sentences/sentence/0/Opinions/Opinion/1/_target,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/0/Opinions/Opinion/1/_from,sentences/sentence/0/Opinions/Opinion/1/_to,sentences/sentence/1/text,sentences/sentence/1/Opinions/Opinion/0/_target,sentences/sentence/1/Opinions/Opinion/0/_category,sentences/sentence/1/Opinions/Opinion/0/_polarity,sentences/sentence/1/Opinions/Opinion/0/_from,sentences/sentence/1/Opinions/Opinion/0/_to,sentences/sentence/1/_id,sentences/sentence/2/text,sentences/sentence/2/Opinions/Opinion/0/_target,sentences/sentence/2/Opinions/Opinion/0/_category,sentences/sentence/2/Opinions/Opinion/0/_polarity,sentences/sentence/2/Opinions/Opinion/0/_from,sentences/sentence/2/Opinions/Opinion/0/_to,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_target,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/0/_from,sentences/sentence/3/Opinions/Opinion/0/_to,sentences/sentence/3/_id,sentences/sentence/1/Opinions/Opinion/1/_target,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/1/_from,sentences/sentence/1/Opinions/Opinion/1/_to,sentences/sentence/0/Opinions/Opinion/2/_target,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/2/_from,sentences/sentence/0/Opinions/Opinion/2/_to,sentences/sentence/0/Opinions/Opinion/3/_target,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/0/Opinions/Opinion/3/_from,sentences/sentence/0/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/1/_target,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_from,sentences/sentence/2/Opinions/Opinion/1/_to,sentences/sentence/1/Opinions/Opinion/2/_target,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/1/Opinions/Opinion/2/_from,sentences/sentence/1/Opinions/Opinion/2/_to,sentences/sentence/3/Opinions/Opinion/1/_target,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/Opinions/Opinion/1/_from,sentences/sentence/3/Opinions/Opinion/1/_to,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_target,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/Opinions/Opinion/0/_from,sentences/sentence/4/Opinions/Opinion/0/_to,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_target,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/0/_from,sentences/sentence/5/Opinions/Opinion/0/_to,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_target,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/Opinions/Opinion/0/_from,sentences/sentence/6/Opinions/Opinion/0/_to,sentences/sentence/6/_id,sentences/sentence/0/Opinions/Opinion/4/_target,sentences/sentence/0/Opinions/Opinion/4/_category,sentences/sentence/0/Opinions/Opinion/4/_polarity,sentences/sentence/0/Opinions/Opinion/4/_from,sentences/sentence/0/Opinions/Opinion/4/_to,sentences/sentence/0/Opinions/Opinion/5/_target,sentences/sentence/0/Opinions/Opinion/5/_category,sentences/sentence/0/Opinions/Opinion/5/_polarity,sentences/sentence/0/Opinions/Opinion/5/_from,sentences/sentence/0/Opinions/Opinion/5/_to,sentences/sentence/0/Opinions/Opinion/6/_target,sentences/sentence/0/Opinions/Opinion/6/_category,sentences/sentence/0/Opinions/Opinion/6/_polarity,sentences/sentence/0/Opinions/Opinion/6/_from,sentences/sentence/0/Opinions/Opinion/6/_to,sentences/sentence/1/Opinions/Opinion/3/_target,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/1/Opinions/Opinion/3/_from,sentences/sentence/1/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/2/_target,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_from,sentences/sentence/2/Opinions/Opinion/2/_to,sentences/sentence/2/Opinions/Opinion/3/_target,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/2/Opinions/Opinion/3/_from,sentences/sentence/2/Opinions/Opinion/3/_to
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",Burgers,FOOD#QUALITY,positive,0,7,14:0,14,onion rings,FOOD#QUALITY,positive,28,39,"Just remember it's ""cash only""! :)",,,,,,14:1,,,,,,,,,,,,,,,,,,,,chocolate shake,DRINKS#QUALITY,positive,48,63,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great spiced apple drink.,spiced apple drink,DRINKS#QUALITY,positive,6,24,15:0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try ice vanilla latte and chic o cheese,ice vanilla latte,DRINKS#QUALITY,positive,4,21,16:0,16,chic o cheese,FOOD#STYLE_OPTIONS,positive,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menu is on e readers.,,,,,,17:0,17,,,,,,Pretty cool!!,,RESTAURANT#GENERAL,positive,0,0,17:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A good cafe to rest in after a tiring walk in Mecca Mall,cafe,RESTAURANT#GENERAL,positive,7,11,18:0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food.,food,FOOD#QUALITY,positive,6,10,19:0,19,,,,,,Excellent service.,service,SERVICE#GENERAL,positive,10,17,19:1,Great prices,,RESTAURANT#PRICES,positive,0,0,19:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Double cheeseBK n Nice outdoor atmosphere ^^ #HomeyBali,atmosphere,AMBIENCE#GENERAL,positive,35,45,20:0,20,Double cheeseBK,FOOD#QUALITY,positive,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the home made lime/mint lemonade!,lime/mint lemonade,DRINKS#QUALITY,positive,18,36,21:0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben here 4 times in last month.,,RESTAURANT#GENERAL,positive,0,0,22:0,22,,,,,,Excellent sushi and old fashions.,sushi,FOOD#QUALITY,positive,10,15,22:1,Music is way too loud for dining though!,Music,AMBIENCE#GENERAL,negative,0,5,22:2,Turn it down a tad for eating please!,,AMBIENCE#GENERAL,negative,0,0,22:3,fashions,AMBIENCE#GENERAL,positive,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best wings, rolling to a spot near you.",wings,FOOD#QUALITY,positive,5,10,23:0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you're a lover of all things pumpkin, try the pumpkin bagel with the pumpkin cream cheese when they're in season!",pumpkin bagel with the pumpkin cream cheese,FOOD#QUALITY,positive,49,92,24:0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did this..Love it.,,RESTAURANT#GENERAL,positive,0,0,25:0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and wam salsa.,Chips,FOOD#QUALITY,positive,0,5,26:0,26,wam salsa,FOOD#QUALITY,positive,10,19,Delicious!,,FOOD#QUALITY,positive,0,0,26:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the calamari Taco n add some hot sauce..delicious!!,calamari Taco,FOOD#QUALITY,positive,8,21,27:0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The chocolate babka is amazing- buttery, plenty of chocolate & stays moist (even when left open on a counter)!!",chocolate babka,FOOD#QUALITY,positive,4,19,28:0,28,,,,,,"If you order coffee at the front register, you have to go to the back to pick it up.",,,,,,28:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beers all over the world, cool place",Beers,DRINKS#STYLE_OPTIONS,positive,0,5,29:0,29,place,RESTAURANT#GENERAL,positive,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice place.,place,RESTAURANT#GENERAL,positive,5,10,30:0,30,,,,,,Good coffee not bad prices.,coffee,DRINKS#QUALITY,positive,5,11,30:1,But the menu could do with a redesign.,menu,FOOD#STYLE_OPTIONS,negative,8,12,30:2,Doesn't match the aesthetic of the property.,,,,,,30:3,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food.,food,FOOD#QUALITY,positive,5,9,31:0,31,,,,,,Parking can be a real pain!,Parking,RESTAURANT#MISCELLANEOUS,negative,0,7,31:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The red beans and rice are DELICIOUS.. better than Pat O'Briens.,red beans,FOOD#QUALITY,positive,4,13,32:0,32,rice,FOOD#QUALITY,positive,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is my fourth time here.,,RESTAURANT#GENERAL,positive,0,0,33:0,33,,,,,,Gets better every single time.,,RESTAURANT#GENERAL,positive,0,0,33:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must try shrimp avoid salad and Nutella Tiramissu.,shrimp,FOOD#QUALITY,positive,9,15,34:0,34,salad,FOOD#QUALITY,negative,22,27,Enjoy!,,RESTAURANT#GENERAL,positive,0,0,34:1,,,,,,,,,,,,,,,,,,,,Nutella Tiramissu,FOOD#QUALITY,negative,32,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is Mexican food done right.,food,FOOD#QUALITY,positive,16,20,35:0,35,,,,,,But If you want tortillas they will charge you for mere 2 tortillas (that is not right),,RESTAURANT#PRICES,negative,0,0,35:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waitress wears flip flop.,Waitress,SERVICE#GENERAL,negative,0,8,36:0,36,,,,,,Doesn't know how to properly pour water out of a pitcher.,,SERVICE#GENERAL,negative,0,0,36:1,Food was good though.,Food,FOOD#QUALITY,positive,0,4,36:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Such a beautiful place,place,AMBIENCE#GENERAL,positive,17,22,37:0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The guys here will give you a hard time with the check in special.,guys,SERVICE#GENERAL,negative,4,8,38:0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puts Moe's and Chipotle to shame,,,,,,39:0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",Chicken teriyaki,FOOD#QUALITY,positive,0,16,40:0,40,vegetables,FOOD#QUALITY,positive,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,portion,FOOD#STYLE_OPTIONS,positive,66,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you're looking for homemade local food.,food,FOOD#QUALITY,positive,37,41,41:0,41,,,,,,"Thats the address.You should try ""keskek"" which is a traditional food.",address,RESTAURANT#GENERAL,positive,10,17,41:1,Kind of turkish risotto,,,,,,41:2,,,,,,,,"""keskek""",FOOD#QUALITY,positive,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Velvet Waffles are to die for!,Red Velvet Waffles,FOOD#QUALITY,positive,4,22,42:0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The owner, Whitney, suggested the small pies for client thank you gifts.",owner,SERVICE#GENERAL,positive,4,9,43:0,43,pies,FOOD#QUALITY,positive,40,44,"I tried the Dutch Apple, it was DELICIOUS!!!",Dutch Apple,FOOD#QUALITY,positive,12,23,43:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium coffee + oatmeal for $3.50 = a great way to start the day.,,RESTAURANT#PRICES,positive,0,0,44:0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Really excellent beer selection, solid food choices, and probably the worst music ever.",beer selection,DRINKS#STYLE_OPTIONS,positive,17,31,45:0,45,food choices,FOOD#STYLE_OPTIONS,positive,39,51,,,,,,,,,,,,,,,,,,,,,,,,,,,music,AMBIENCE#GENERAL,negative,76,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
