text,rating,date,location,review_length,word_count
"We found Home Thai on Yelp and were not disappointed!  We arrived early, just before the line formed, and were seated right away at one of two remaining tables around 5:45PM.   It took a bit for a server to take our order, but once the order was in our food came out fast.   The massaman curry was amazing!  The beef was extremely tender and the sauce was nicely balanced with coconut, spices and peanuts all working well together.    Prices were extremely reasonable, but just a heads up that rice is $3 extra which isn't prominently noted on the menu.   I'd suggest double checking the bill before going up to pay; we were given someone else's and it was about $35 more than ours.  I'd agree with others to not be put off by the line.   This is not a place where people come to linger for a long time; people are coming for excellent Thai food served quickly, so tables do turn quickly!",4 ,"Sep 29, 2016","Indianapolis, IN",888,163
"We always passed this restaurant on our way home and it was always so busy. We just had to see what the fuss was about!I have never been to a restaurant which delivers your food order soo fast ! I'm not even kidding too. We were so surprised. Our waitress took our order through an app? And then we got all our food and drink in less than 6 minutes. This place was so packed and busy too so it was impressive. There is nothing bad to say about our experience. Everything from the service to the quality of food, there was nothing to falter it. Everything was so yummy and the way that Thai food was supposed to be. The pricing of everything is so affordable too. Dishes are of good quantities that you can easily share between 2 people, and are under $20. I have to say, as a tip: you're best off trying to get there before dinner rush because there was a line of people as we were heading out even after the 8:30 mark. All in all, I'd go back to try everything else, and it would be a place I'd order takeaway from on a weekly basis! Great Thai place :)",5 ,"Sep 25, 2018","Brisbane, Australia",1054,207
"We came here because we'd heard good things from friends. Pros:Food and drinks came out really quick!Iced milk tea - yummy yummySpicy ground chicken - very flavorfulCons:Cash onlyMassaman curry - sweeeet, and the meat was toughPork dumplings - also very sweet, had way more sticky saucy and peanuts than pork",3 ,"Jul 4, 2018","Los Angeles, CA",308,50
This is one of my favorite Thai places for delivery.Always fast and super responsive if there is an issue.Highly recommend.,4 ,"Apr 15, 2018","Bayswater, Australia",123,20
"You simply have to try the crispy pork, it's incredible! I also tried the curry puffs which were totally not oily which was a nice change from most places. The chicken pad Thai was delicious. Depending on what time you arrive you may have to wait but you just put your name down at the door, I was dining  alone and was seated almost immediately. Eftpos has a minimum $30 spend, that just meant I over ordered and happily have leftovers for lunch tomorrow. The restaurant is right around the corner from the Park Royal Darling Harbour so definitely give room service a miss and got to Home Thai!",5 ,"Feb 6, 2018","Bridgeman Downs, Australia",595,109
"I've been meaning to write this review for days but haven't had a chance until now-- 6 days after eating here.  Truth be told, my mouth is still watering almost a week after visiting Home.My boyfriend warned me there would be a line out front and there sure was.  Despite having at least 10 parties in front of us, the wait was actually fairly quick, maybe 20 minutes (which worked out well because FYI: this place is cash only and the wait gave us time to go to the ATM.)Once we were seated, our food came quickly.  Everything was So.Damn.Good!  We got 2 appetizers-- the dim sum and the multicolored dumplings (I don't remember the name of these, but you'll know it when you see it on the menu).  My boyfriend ordered the mussamum curry, which he says is the best he's ever had, and I ordered the pad Thai, also the best I've ever had.  Just go to Home right now.  You won't be sorry.",5 ,"Dec 12, 2015","San Francisco, CA",886,166
"We are a group of 6 and had to wait for 15 mins to get a table. The place is congested, similar to mamak.I ordered Vegetarian entree : keuw tiew lod ,Main : Pad ka PaoDessert : water chestnut jellyWe got the food within 5 mins after we ordered.Food was delicious..serving quantity was sufficient enough. Price was reasonable.Overall a good experience and looking toward to visit again.",4 ,"May 5, 2015","Sydney, Australia",385,67
This is pretty much the best Thai restaurant I've eaten at in my life. Right. I haven't been to Thailand. But. I ate at Thai restaurants all across America and Thai food in America really sucks.  I am betting this place is better than half the places in Thailand and safer to eat!,5 ,"Jan 5, 2016","Los Gatos, CA",280,53
"Stumbled upon this restaurant while looking for a place for dinner. The food here was delicious!I thoroughly enjoyed my entire meal, and they even had my favorite dessert: water chestnut in coconut milk. Everything tasted very authentic, and fresh. Highly recommended!!",5 ,"Jun 28, 2016","New York, NY",269,41
"All hail the nom ninja's!This place has slapped me silly and called me Susan! Again!The wait was over before it began, the service was a blast of lightning bolt fast, the food was piping hot, super fresh and sensayshalicious! (Sen-say-sha-licious)For bang on a tenner this place blows me away every time. I had #175 the BBQ Pork. Great choice for you spice wimps! Mild as an autumn afternoon.Final thought: how do they know who we are and what we ordered? Bazillion and one peeps coming, going, toing and froing and they still know my name from what I scribbled on the outside waiting list. How do they know???",5 ,"Jun 3, 2014","Katong, Singapore, Singapore",610,108
"I have not been to Thailand, and other than eating a fair bit of Thai food here and back in the US, I have no knowledge of technique or authenticity. However, I have eaten plenty of bad Thai food, but never at Home Thai. I have been several times for lunch now, and am always impressed with how quickly they work through the line out the door.  It doesn't matter what you order it comes fresh and fast.  My noodles are never too greasy, and their milder dishes are just as flavorful as the spicier options.  I personally love the pad kee mao, but be warned, it packs a lot of kick. I'm short everything I have eaten here has been delicious, you should bring cash for bills under $30, no split checks, and watch out for the heat on spicy dishes.",4 ,"Dec 31, 2015","Sydney, Australia",744,142
"I had pretty high expectations for Home Thai, but at the end of the day the entire experience fell a little short.This place is full of energy, so if you're looking for a loud-ish joint where you can hear the conversations of people next to you, it's for you. It wasn't exactly what I had in mind.Everyone I spoke with here was very helpful. And yet, I never fully feel like they understood exactly what I was looking for. I tried not to ask for too many recommendations or extra rice, but it was tough to explain even these things to most of the people working there.It's all about the food at the end of the day, and the food here wasn't good or bad--it was 100% average. The pad thai could have been at a solid but unexceptional place in suburban NJ. The curries were flavorful but a little one-note. I was surprised at how deeply fried some of their food was and found it to kill a lot of the flavor.If this was any other random restaurant, I'd have been ok about it. But a few people talked up Home, and in a city with tons of Thai food I wish I picked a place where I could either enjoy the food more, or enjoy food that had more complexity or subtlety to it.",3 ,"Oct 29, 2017","New York, NY",1165,226
"Some of my wife's friends introduced me to this amazing place for Thai food.  In terms of value for money it cannot be beat.  I would gladly pay more money for a meal from here, but I am extremely glad that it is so affordable.The flavours of every dish I had really pop and I really cannot say I was ever disappointed with a menu selection.  Even though I love Thai curries, I never had one from here as I have always tried other dishes and been amazed.If it is your first time, and you are a pork belly fan (lets be honest who isn't.... I mean I'm Jewish and I even love the pork belly).  This place makes the crispiest one I know of.  Sure it may be fatty, but its so damn good.  If you don't like it just take home as leftovers, send me an email and I will pick it up from your apartment.But other than that I'd say get a salad (banana flower, papaya, or another as you cannot go wrong), the pork belly, and a few other dishes with some sticky rice and enjoy.   To finish up get the first item on the dessert menu.  It is some freshly fried dough and a coconut pandan sauce for dipping.  Great finish to a great meal.By the way, I'd suggest going in a big group as it is the best way to try lots.",5 ,"Jan 15, 2012","Deerfield, IL",1200,238
"Home Thai is one of my all-time favourites but never thought of reviewing them. I went for lunch and they do have a different menu for dinner.SOFT SHELL CRAB W/ MANGO SALAD (Pu Nim Yum Ma Mhung)The crab is perfectly fried acting as the sweet and delicious protein in its own right. Its combination with the Mango salad just works for me. The balance of sweetness and acidity is just right. Textures did complement each other where the fresh veggies have a mix of soft and crunchy freshness with the fried soft shell crab giving the salad that crouton quality and warmth.STIR FRIED CRISPY PORK BELLY W/ PIK KHING SAUCE ON RICE (Kao Rad Pik Khing Moo Grob)One of my all-time favourites, there's just something about tender pork and crispy crackling that is  just so yummy but this dish is much more than that, I would describe it as sensory overload. The oil based sauce that comes with it is full of flavour (good mix for the white rice) and has that heat from the chilli giving that kick. The green beans are not just here as passengers - they are cooked al dente they are just the icing on the cake. Good things have to be consumed in moderation, large servings would probably become sickening for some, a lunch portion that includes rice is just right to share for two.SPICY SOFT BONE PORK SOUP (Tom Saab)Amateurs of beef would love this,  it is pure beef soup but seasoned with Thai spices predominantly coriander. Although it looked like a generic Asian noodle soup, It does have its own unique personality and distinctively different from Chinese and Viet flavours that may be weird at first. Yum noodles and ultra tender chunky beef make this dish another alternative to pho this winter.ConclusionBefore my first time at Home, I thought that Thai food only consisted of Pad Thai, green curry and Tom Yum flavours. I have no idea whether their dishes are authentic or not, all I can say is that they are all delicious and reasonably priced.The salad is an amazing starter, crispy pork belly is a must-have and the best thing is that both are available on lunch and dinner menus.@thesydneynoob",5 ,"Apr 21, 2014","Sydney, Australia",2097,370
"This place has build its self a reputation as one of Sydney's must visit eateries. Walking past on many occasions I couldn't help but be intrigued as to what it offers based on the crowds that lined up outside.It was a Wednesday at approx 7:45 and it took us 45 minutes to get in. With a wait like that your hoping for something special. We got seated, ordered and without much time to blink we got served our food. Papaya Salad , Masaman beef curry and spring rolls. The spring rolls were vegetarian served with a sweet sauce. They were perfect as a starter. The Papaya salad was a combination of pork, peppers , cucumber and gorgeous crunchy crackers on the side. The salad was really good but oh so spicy . Perfect if your ready for it. Recommend having water on the table for this one . So good that despite the heat I kept eating it. The curry was the perfect dish for taking breaks in between the spicy salad. The Masaman beef had big chunks of beef but it was really tasty so worked really well.Just to overindulge opted to try the mango with sweet  rice. Tasty dish. The rice was coloured for fun and had a vanilla sauce over it and the mangos were very sweet. Nice dessert.  Overall will be back again for sure . Staff were on point with getting people in and out as quickly as possible and the place has a good vibe with food to match .Thumbs up .",5 ,"Mar 25, 2015","Crows Nest, Australia",1357,258
"Authentic or not, the food was delicious!I loved the Soft Shell Crab and Mango Salad  so much that we ordered a second one after out meal! It had a perfect balance of sweet, tangy, and salty flavor. The soft shelled crap was fried to perfection.The Pad Thai was also delicious, although back home I usually order chicken with my Pad Thai, the decision maker of our table ordered beef. There isn't much to write home about the beef and there were pieces left over. The actual Pad Thai was really well made, perfect chewiness and not soggy like some. Chili, peanuts, lemon, and sugar were placed on the side of the noodles for you mix to your taste. The dish also came with a lot if fresh bean sprouts.Fresh spring rolls were done very well, the rice paper skin was soft but firm at the same time, however they do tend to fall apart when picked up. This is a nice light appetizer to share.The Satay chicken was another great dish with large skewers of chicken paired with their satay sauce. Although they were large pieces of chicken breast, it was still not dry and tough.My party also enjoyed the Banana Flower salad, it want my cup of tea but it was pretty fragrant and everyone else loved it.We ordered three types of dessert. Oh we were on a food binge. This was for a party of four mind you. Durian Sticky Rice - the worst dish of the night- super sweet and warm, an odd temperature, I'd stay away from thisMango Sticky Rice was great. Both sticky rice dishes come with three types of sticky rice- pandan, coconut, and a dark colored one (not sure what it was).Fried Breadsticks with Pandan coconut sauce was extremely fresh, we actually saw them dry the breadsticks in their open kitchen upstairs. The bread sticks are similar to donuts but lighter. Even when we were stuffed from dinner we managed to fit these in.Verdict- great Thai place with wonderful flavors!! Must return.Tip- go later in the evening or sit by the windows since it's really stuffy and hot with little ventilation other than the windows upstairs",5 ,"Jan 12, 2014","Sydney, Australia",2022,363
"This is my second favourite casual Thai restaurant in Sydney...I come a lot, and always recommend it over the other casual Thai restaurants. There's always a queue, but you never wait too long. The vibe is hip and the service is pretty good overall if they're not swamped, and you can easily feed two people for $20 each.Their pad thai is a little different than other locations in that you can make it as sweet as you want, since it comes with a side of sugar. Pad see ew and pad khee mao are good, the stir fry pork belly dishes are all delicious, albeit taste somewhat similar...but still good. I love the massaman curry and duck curry as well. Shoot, everything is good!If you can't handle spicy food that well I suggest you ask them to tone it down when you order.",4 ,"Jan 21, 2013","Sydney, Australia",769,143
"Saw a long line outside and thought ""this must be a good place to eat."" Then realised it was Thai.So glad we waited, wasn't long maybe 20 mins. The food came out within 5 mins literally!! The place is so alive, you hear the dishes clincking, people talking, waiters rushing around like darts. 46.Massamun beef was really tasty, the beef just pulled apart so easily. 16.Herb pork stick and 17.fresh spring rolls were very tasty. 129.crispy pork belly was a little spicy but not too much, the crackle tasted so good.The black ice tea was very very sweet. Like too too sweet.Make sure to leave room for the mango sticky rice dessert.",4 ,"Oct 12, 2013","Southbank, Melbourne, Australia",630,112
"I have been back several times since my first visit and the food and service are still worthy of the rating.  This place has great food -- my favorite is green chicken curry.  Really nice and spiced as I like it!There is always a line. The key is being patient you will get in soon enough. The number of Thai patrons should be a tip off of the quality of the food. Order a beer, if you get a spicy dish you will enjoy it that much more.",5 ,"Jun 1, 2014","Frederick, MD",436,88
"Delicious pad Thai, curry and spring rolls! Would come again any time :) huge serving of pad Thai!",5 ,"Mar 19, 2018","Nuremberg, Germany",98,18
"So, Australia isn't all barbies and beaches - Thai food is massive, and I just had to try some. There was a 20 minute wait when we arrived, and the process was fairly simple; put your name on the list, how many in your party, and take a ticket. It was fairly windy outside, meaning there was a bit of a chill in the air, but the view into the kitchen kept us entertained for the duration of our wait.We were seated upstairs, which was quite cozy, and settled in with some water. The wait to get our order taken was fairly lengthy, hence the 4 stars - I thought the rest was a 5 star experience. Once our order was taken (on an iPad nonetheless) the food came quickly and piping hot. Everything comes at once and, as we later learned, supposed to be eaten 'family style', with everyone sharing their dishes, but you live and you learn! We tucked into a range of items; chicken satay, deep fried beef, pad thai, chicken and coconut soup, sticky rice, green curry, and beef and cashew nuts. The food started coming within moments of us ordering, and not all vegetables - spring onions etc - were completely cooked through, which was slightly disappointing. The chicken and coconut soup was delicious, really creamy and filling, and with just the right amount of spice. Paired with properly sticky rice, with no need for a knife and fork, I was very happy with my Thai experience.",4 ,"Jan 5, 2014","Manchester, United Kingdom",1376,252
"I would say, for those of you who likes, ""hiiii...how was your food? Can I get you anything else?"" Or, modified Thai, don't come here. Just saying. Those of you you can't eat authentic, go to some-tang or some place else. It is Asian service, you're not gonna get a mothering service. I think most folks who think the service is no-so great, as Asian, we don't like to baby our people when they are eating. Not because they are rude, they just don't ask question every bite you take. This is all about the food, flavors, and true food lovers. Now for the food, it is as good as it is in Thailand. It is full on hot, when you ask for hot. Full blast of flavors and not something you need to add more stuff to. Sure occasionally, there's mishaps, but so is any place else in this world. Just simply explain yourself. A coworker was charged for 2 items, a week ago I might add, but as we explained to them, they simply make the dish for him. It gets really busy, so if you can arrived before 6 pm, it's great. They have their favorite and popular dish, but I'm always about the som tam, and curry. Be adventurous, and don't order just ""pad Thai"". Or fried rice. You're in great place, order and eat away. Enjoy!",5 ,"Jul 29, 2015","Earth, TX",1208,231
"Friday lunch time ! Home is like thai food on steroids highly recommend .The service is overall fast , efficient and everyone wears a smile . The food is served within minutes of sitting down and the flavours , presentation and overall dish is fantastic.",5 ,"Jul 25, 2014","Sydney, Australia",254,45
"Given the number of excellent reviews I found online, I finally get a chance to try this restaurant with my mate today.Granted Im writing this review based on one main &amp; one drink, it might be slightly biased. But oh well....PAD SEE EW ($9.90) : Portion is generous. But the flavour is just...meh. Definitely one of the worst Pad See Ew I had in Sydney.Logan Drink ($4): Too sweet, more of a syrup taste than logan. disappointing.I think $10 for lunch is a good deal, however, given that this is located at Haymarket area, Im sure there are better $10 lunch options.Sorry fans, this restaurant did not live up to my expectation (not very high i promise). And I would not be back to try other dishes... :( Note:No credit cards for bills under $30 !",2 ,"Aug 5, 2013","Sydney, Australia",751,136
This restaurant was recommended by a friend. Although we had to wait for 20 mins I was happy with the service and food. Portions were pretty big for the price and food was great  I would definitely recommend this place.,5 ,"Feb 25, 2018","Sunnyvale, CA",219,40
"Delicious and quick service delivery. The Tom Yum soup was still steaming hot and had a nice amount of tang. The pad see ew was filled with wonderful amounts of veggies and chicken, with a slight sweetness from the sauce. Would highly recommend!",5 ,"May 19, 2018","Houston, TX",245,43
"Good standard Thai for sure. Super quick service (you actually feel a bit rushed), very busy and crowded table space, but pretty tasty stuff. Nothing flash or very original, but a great choice for the basics you'd be in the mood for sometimes. Not for people who are looking for very spicy or unique dishes at all. The other thing I will say is the vegetarian selection is very limited. Not uncommon, and 100% their prerogative, but probably wouldn't recommend for strict veggies. The language barrier with the staff (although they're very nice) makes it that much harder to figure out what's in things that aren't described on the menu.They also won't split bills, and charge a 3-6% surcharge for using credit cards.",3 ,"Dec 12, 2017","Toronto, Canada",717,123
"Solid 4 stars, good but not great Thai food.  Maybe I was expecting more out of Yelps top choice for Thai in Sydney.  Of the 7 dishes we ordered, everything was tasty but not overwhelming.  Food comes out really quick but otherwise a no frills place.  We had an early dinner around 445pm and by the time we finished, a line was forming so go early cause it's popular.",4 ,"Nov 28, 2019","Austin, TX",367,69
"The Pad Thai was amazing. The veggie spring rolls were fresh, simple, good. A great place for a vegetarian.",5 ,"Nov 18, 2019","San Luis Obispo, CA",107,19
"If you can endure the wait, you're in for a treat! The line seemed the long, but the wait wasn't so since it seemed a lot of people gave up their place in line. The window display at the front of the restaurant reminds me of Ding Tai Fung because you can see them make certain appetizers and desserts - a very interesting show.Crispy Pork Belly was too crispy to the point where I can't taste any pork with every bite. Both the meat and the skin are fried to a crisp. As much as people rave about this dish, I wouldn't recommend it. The sauce was good, the actual crispy pork was not.The winners of the night were the soft shell crab salad and pad see Mao with beef. The crab was tasty and messed well with the slaw. The dressing was yummy, but there was a bit too much of it to the point where I was afraid the crispiness of the crab will be soften by the dressing. The pad see Mao was spicy and is definitely one of the better versions of this dish at the many places I've had it.Custard sticky rice was not spectacular. Custard on top with sticky rice on the bottom was forgettable. The custard was too soggy and the different colored sticky rice just all tasted the same thanks probably to food coloring.All in all, if I'm ever in Sydney again, I'll probably pay this place another visit.",4 ,"Aug 31, 2016","Diamond Bar, CA",1292,247
Visited this place around 7:00 pm on a Tuesday.... queued for 10 mins and then got a table....food is good but a little spicy(Thai green curry rice)...I forgot to try pork crispy though. Also tried lamb satay...which was good,5 ,"Dec 6, 2017","Bellevue, WA",225,39
"Was walking around in the city at 2pm, didn't know what to eat. I've been longing to Home but every time I've been, theres been a long queue. But i thought maybe this time it would be easier to get a table, since it was 2pm and a weekday (and......table for 1 LOL *lonely*)Got seated within 3 mins, still had to write my name on the waiting list tho haha. Always a queue there!!Ordered a Pad Thai. This is my default dish to order at every Thai Restaurant. I just think that its necessary to order this staple so i can compare Pad Thai's. (I should just be a Pad Thai connoisseur tbh)Well, Home. You were worth the wait, you were worth the times i walked away when i saw the queue. and now i know WHY theres a queue.Pad Thai was 11/10 standout. It definitely has its own BANG to it, can't exactly point it out though. It is different to the Pad Thai at Chat Thai. I like how the Pad Thai at Home has the little mounds on sugar and some burning spicy spices. However, i underestimated how spicy the spices were, and just straight up ate a little and burned my oesophagus (where i then proceeded to scoop all the spicy spices off my dish, and mix in ALL the sugar provided)Overall, gr8/10. Will be back soon :D",5 ,"Apr 18, 2016","Sydney, Australia",1208,232
"Really good. 100% recommend if you're in the area.The location is cool. It's in a very urban area of the city that has a lot of foot traffic. It looks small but is surprisingly big inside. Kitchen is visible from the restaurant and outside, I thought the street-view kitchen was cool. Design and decor are modern and clean. The food is seriously good. We like spicy food and ordered everything a little spicier than what comes with the regular orders. Everything was amazing though. We ended up coming back again a few days later and will return during our next trip to Sydney!",5 ,"Oct 20, 2017","Corona, CA",577,103
"Oh my, oh my! How the mighty has fallen! This place used to be so good. New ownership has not kept up with the standard! Don't waste your money. It's no longer the restaurant we used to know. This is sad!",1 ,"Jun 14, 2017","Sydney, Australia",204,41
"Got treated here by a friend and this is really an excellent Thai resto in Sydney. The only trouble is the line is long! Granted we were 8 people and they don't take reservations, but 2 hours? I guess it is not really their fault as the place was packed!The food here is really a cut above the rest though. Just a shame that everyone else seems to know about it.Pork belly is really excellent as well as the banana flower. Everything here is good overall...",5 ,"Dec 2, 2011","Sydney, Australia",457,86
"I've eaten here with the same group of friends twice now. It's undoubtedly my favourite Thai restaurant and definitely trumps many of my local Thai restaurants. I guess a testament to how great it is is how long it takes to line up for dinner here on a normal day. We spent about 15-20 mins standing outside each time since there's no booking of course, but it was definitely worth it.If you're ever here, order the crackling pork belly with some steamed rice to share with a couple of others - you'll love it, I promise! The service is incredibly fast as well and all our orders seemed to come out within 5-10 mins of us ordering it. Remarkable considering that the entire restaurant was packed and there were groups still waiting outside to eat at 9pm. The prices are pretty reasonable, too. A group of 4 of us had dinner there and we amassed about $30 a head and felt stuffed afterwards.However, if you're a vegan like one of my friends was, this may not be your favourite place. There aren't many good options that we found for her so I wouldn't recommend you come here for that.Basically, I'm giving this place a huge yes. Do I recommend this place? Yes. Will I eat here again? Yes. Would I wait half an hour to eat here again? Definitely yes.",5 ,"Jan 23, 2016","Sydney, Australia",1248,230
"Cheap Thai, ok flavours but the ambience is not pleasant. Queues forming at a restaurant for both lunch and dinner means a restaurant is probably good, but I feel that the flavours and the ambience do not justify the visit. The flavours are more authentic than the average local Thai restaurant but I don't love it, it tastes average. As for ambience, guests are expected to queue up for 20mins then be crammed in any available spot, meaning you'll be literally rubbing elbows with strangers and of course you'll need to awkwardly balance your bag on your lap (the chairs have no backs) while making sure the sauce doesn't spill onto your clothes or belongings.",3 ,"Jan 20, 2016","Cherrybrook, Australia",661,115
Stumbled across this spot walking around. It doesn't take a genius to know this is a must try because for months I've always seen a line of people waiting every time. Place was amazing. Fish was so fresh it practically melted in my mouth. Had the duck curry and the seafood papaya and one couldn't tell if you were in Australia or Thailand. Slightly pricey in my opinion but would come back again for sure,5 ,"Mar 19, 2016","Washington, DC",405,75
"Everything is excellent.  Very quick service and meal delivery, even when incredibly busy.  The food is outstanding and you could make a meal just from the entrees. Go no where else for Thai.",5 ,"Sep 11, 2016","San Clemente, CA",191,33
"Thai restaurants are a dime a dozen, but this one is a goodie. And people know it because there is always a queue, no matter what time it is. I've been here twice for lunch and dinner respectively and both were great experiences. For lunch I just had a pad thai which was nice, with a thai milk tea. For dinner I had the pad thai again, plus the pork belly with chilli which was fatty but good.  But the thing I loved the most was the dessert which was a thai fried donut which you dip in condensed milk and pandan sauce. It was almost like churros but asian style!Definitely recommend.",4 ,"Oct 26, 2011","Sydney, Australia",586,112
"This was my favourite Thai place to come to it had great service and the food was perfectly made, They then got new management and everything has changed the staff were rude and wouldn't let me have an extra plate... strange. The food was not as great as it was with the old management and I found a hair in my food",2 ,"Oct 30, 2018","Dulwich Hill, Australia",315,62
"The best Thai food outside of Thailand!! For real! Home Thai is my favorite restaurant in Sydney... super affordable, super quick, amazing food!! A must go to when in Sydney! My favorites are the Pad Thai and the Red Curry with Chicken",5 ,"Apr 6, 2017","Westwood, Los Angeles, CA",235,42
